time,chw_sup_P.p
0.0,316000.0
2.510353052542731e-09,316000.0
2.5106040878479854e-05,316000.0000000081
0.000276141346132753,316000.00001894665
0.0008457828043686782,316000.0004747116
0.0019422298977245513,316000.00347917166
0.003916665106316631,316000.01614014036
0.007398485431906521,316000.0609389119
0.013590633456350122,316000.20550797216
0.025934184070274785,316000.69910990505
0.03827773468419945,316001.3387047089
0.05062128529812411,316002.0296865634
0.07100830105893573,316003.4825803592
0.09139531681974734,316005.3753444958
0.11178233258055896,316007.57555942
0.13216934834137056,316010.0819396227
0.17570725470530593,316017.6212769014
0.2192451610692413,316029.8412522898
0.2918068055746673,316058.1378388171
0.36436845008009333,316095.633291394
0.43693009458551935,316141.66608995205
0.5094917390909454,316195.65616008046
0.5820533835963714,316257.08261016896
0.6546150281017974,316325.46982886206
0.7271766726072234,316400.38581528084
0.8675975340403754,316562.4891478016
1.0080183954735276,316745.21673468396
1.1484392569066797,316946.6206913929
1.2888601183398318,317165.11113779293
1.429280979772984,317399.3867780901
1.569701841206136,317648.3817230872
1.7101227026392882,317911.1480215809
1.8505435640724404,318186.60480711964
2.1076093956953774,318720.3521068272
2.3646752273183145,319287.4550709483
2.6217410589412515,319883.00845214154
2.8788068905641886,320502.8034609832
3.1358727221871256,321143.2242791833
3.3929385538100627,321801.15785959474
3.6500043854329998,322473.917802491
3.907070217055937,323159.1827302839
4.164136048678873,323854.94703147054
4.564814393639784,324956.33055457054
4.965492738600695,326073.6652144116
5.366171083561605,327202.71030618215
5.766849428522516,328340.20435229834
6.167527773483426,329483.70048651675
6.568206118444337,330631.4320493591
6.968884463405248,331782.20064008853
7.369562808366158,332935.2803111761
7.770241153327069,334090.33528830647
8.17091949828798,335247.3505408192
8.57159784324889,336406.5739146698
8.9722761882098,337568.46762582514
9.372954533170711,338733.667201926
9.773632878131622,339902.94684529473
10.174311223092532,341077.1905941394
10.469295405026836,341945.4186475931
10.76427958696114,342817.2727246889
11.059263768895443,343693.1790984877
11.400632011099175,344712.45064102474
11.742000253302907,345738.4342207527
12.083368495506638,346771.8395636243
12.42473673771037,347813.3848212649
12.766104979914102,348863.7930605983
13.107473222117834,349923.7894230109
13.448841464321566,350994.09860057523
13.790209706525298,352075.44253390364
14.13157794872903,353168.53840566514
14.472946190932761,354274.09694351745
15.009761497005433,356039.5294802125
15.546576803078105,357840.19858499104
16.08339210915078,359678.7208996242
16.62020741522345,361557.6335242474
17.157022721296123,363479.3811079485
17.693838027368795,365446.3053462331
18.230653333441467,367460.6355772136
18.76746863951414,369524.4780725916
19.30428394558681,371639.8037291835
19.841099251659482,373808.43540695996
20.377914557732154,376032.0356699734
20.914729863804826,378312.094666846
21.451545169877498,380649.9177842466
21.98836047595017,383046.61327960173
22.525175782022842,385503.08042999735
23.061991088095514,388019.99857087684
23.598806394168186,390597.8171516679
24.135621700240858,393236.74692157673
24.67243700631353,395936.752480382
25.2092523123862,398697.54646878183
26.033937905803082,403055.9295232913
26.858623499219963,407553.2678693143
27.683309092636843,412184.9786013056
28.507994686053724,416945.08284464444
29.332680279470605,421826.26166075334
30.157365872887485,426819.94313119905
30.982051466304366,431916.4157622626
31.806737059721247,437104.960210096
32.63142265313813,442373.9950508891
33.45610824655501,447711.23490169866
34.28079383997189,453104.6736067727
35.10547943338877,458570.1894689115
35.93016502680565,464101.3372171967
36.754850620222534,469657.54329396033
37.579536213639415,475191.93550851266
38.404221807056295,480649.75010930526
39.228907400473176,485965.4990890197
40.05359299389006,491078.30621911824
40.87827858730694,495986.2942943113
41.70296418072382,500692.6744098507
42.5276497741407,505204.6046357431
43.35233536755758,509535.98641903355
44.17702096097446,513705.3495173014
45.00170655439134,517717.46641051746
45.82639214780822,521550.2746131966
46.6510777412251,525196.8776371098
47.47576333464198,528660.6211553583
48.30044892805886,531946.4310620169
49.125134521475744,535060.238191099
49.949820114892624,538007.3291896713
50.774505708309505,540782.4888543001
51.599191301726385,543390.0086263816
52.423876895143266,545839.8019811284
53.24856248856015,548145.7698895449
54.07324808197703,550321.6075790543
54.89793367539391,552379.7949306031
55.72261926881079,554331.5144015555
56.54730486222767,556185.9523852703
57.37199045564455,557945.3226905424
58.19667604906143,559612.0313503522
59.02136164247831,561190.2633471955
59.84604723589519,562684.2939091076
60.67073282931207,564096.906368908
61.49541842272895,565432.2511458643
62.320104016145834,566694.4000855463
63.144789609562714,567887.2534449683
63.969475202979595,569014.538558878
64.79416079639648,570079.8105400163
65.61884638981337,571086.4544644568
66.44353198323026,572037.5478677268
67.26821757664715,572934.7799926638
68.5201943921435,574199.570800295
69.77217120763984,575356.5016199104
71.02414802313619,576415.1560673665
72.27612483863254,577385.3365747718
73.52810165412889,578275.6358960986
74.78007846962524,579093.5714376473
76.03205528512159,579845.2781031257
77.28403210061794,580536.5648192298
78.53600891611428,581172.8282841023
79.78798573161063,581758.8582617769
81.03996254710698,582298.928745131
82.29193936260333,582796.8726661657
83.54391617809968,583256.1432307959
84.79589299359603,583679.864429624
86.04786980909238,584070.8727953366
88.14585494132163,584659.7632704513
90.24384007355088,585174.7677517724
92.34182520578014,585625.2005581959
94.4398103380094,586019.1269183878
96.53779547023865,586363.5142746744
98.6357806024679,586664.5429989196
100.73376573469716,586927.8893134112
102.83175086692641,587159.0145072341
104.92973599915567,587362.3375403183
107.02772113138492,587541.4514343749
109.12570626361418,587699.3516278116
111.22369139584343,587838.5795247006
113.32167652807269,587961.3222222435
115.41966166030194,588069.4844700069
117.5176467925312,588164.7399446458
119.61563192476045,588248.5679553843
