,pump_speed_1.k,pump_speed_2.k,pump_speed_3.k,pump_speed_4.k,val_pos_1.k,val_pos_2.k,val_pos_3.k,val_pos_4.k,ret_p.k,chw_sup_PSP.k
194,0.5526603334,0.0,0.5526603334,0.0,1.0,0.001,1.0,0.001,399768.6667,463066.6667
195,0.5422020666,0.0,0.5422020666,0.5422020666,1.0,0.001,1.0,1.0,348321.3333,427533.3333
196,0.5568048666,0.5568048666,0.0,0.5568048666,1.0,1.0,0.001,1.0,347192.6667,456800.0
197,0.0,0.0,0.5,0.0,0.001,0.001,1.0,0.001,360880.3333,421800.0
198,0.5523664,0.5523664,0.5523664,0.5523664,1.0,1.0,1.0,1.0,331626.6667,451766.6667
199,0.5539999999999999,0.0,0.5539999999999999,0.5539999999999999,1.0,0.001,1.0,1.0,333564.3333,428666.6667
200,0.0,0.0,0.6456677333999999,0.6456677333999999,0.001,0.001,1.0,1.0,383999.0,449100.0
201,0.6100182666,0.0,0.0,0.0,1.0,0.001,0.001,0.001,325174.0,465500.0
202,0.5907549334,0.5907549334,0.0,0.5907549334,1.0,1.0,0.001,1.0,404137.6667,494133.3333
203,0.634742,0.634742,0.0,0.634742,1.0,1.0,0.001,1.0,351735.3333,456966.6667
204,0.5457866666000001,0.5457866666000001,0.5457866666000001,0.5457866666000001,1.0,1.0,1.0,1.0,206279.3333,322900.0
205,0.0,0.6001255334,0.6001212,0.6000746666,0.001,1.0,1.0,1.0,318837.6667,408766.6667
