m_flow_pred,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,chr_flow_nom,chr_dp_nom
571.1747535833549,448433.3333,378124.6667,27.35493333,0.0,0.0,27.35419333,828.4728258392613,176496.2389972575
248.1368217713583,421866.6667,338917.3333,0.0,0.0,0.0,28.00014667,498.6709042472055,287851.3727195931
1134.654743601308,457400.0,336951.3333,28.9,28.9,28.9,29.0,478.5992571733284,26844.777842791227
223.6587306703153,441466.6667,362472.0,0.0,0.0,25.0,0.0,312.33664201759825,75757.67734936866
977.3778271575025,456300.0,346498.0,27.06985,27.0696,27.06953333,27.06953333,510.0906154745199,130002.96480658124
320.94801825003384,507733.3333,482986.3333,29.79393333,0.0,0.0,0.0,694.308567706647,282709.0774996607
211.73111088316327,551900.0,451187.3333,0.0,0.0,25.0,0.0,633.8725258974724,280438.1722764391
921.2748481423264,408766.6667,318837.6667,0.0,30.00627667,30.00606,30.00373333,856.1735230611429,245963.78017294224
1009.5452584403224,464166.6667,344530.6667,27.67622333,27.67622333,27.67622333,27.67622333,790.6877419303237,243918.0608548321
908.9091669457432,473466.6667,374132.3333,30.32892,0.0,30.50844667,30.46315667,688.1280889044303,203584.13440042068
225.44085775721928,563666.6667,463657.6667,0.0,0.0,25.0,0.0,568.4665273542437,125069.42299543555
777.0761838377725,428333.3333,327721.3333,27.91939333,27.91939333,0.0,27.91939333,655.871229662547,261458.62622637217
737.2222985450968,414100.0,312962.0,25.62212333,25.62206667,0.0,25.62264,436.3901456544466,22326.55092711453
745.3191296386619,447200.0,338542.3333,29.0,0.0,29.0,29.0,401.648913860956,167430.69261677904
557.6267071217486,472333.3333,411834.0,28.23674,28.23674,0.0,0.0,574.0352665476223,261050.53549443456
751.3512696856369,427533.3333,348321.3333,27.11010333,0.0,27.11010333,27.11010333,389.4022654077289,127280.22864044287
1128.4203555331233,473900.0,313628.6667,30.97631333,30.97628667,30.97618,30.97503333,901.3497696610964,219500.89141774125
802.2895430458726,443766.6667,341608.6667,28.0,0.0,28.0,28.0,493.1842735379173,99805.78789160882
1001.9439787321757,415633.3333,315681.6667,31.46915333,0.0,31.46915333,31.46915333,968.6121518455764,74401.94129020837
623.1755663249203,412100.0,352314.6667,29.13197667,0.0,0.0,29.13197667,612.5178896075205,101660.40975995216
767.4110587863959,442100.0,345486.6667,27.5,0.0,27.5,27.5,655.871229662547,261458.62622637217
909.7898134233952,479800.0,319935.6667,30.41093333,30.41184,30.41479,30.4171,139.57067192276605,13993.56554569958
217.969859013494,459300.0,377604.6667,0.0,0.0,25.0,0.0,500.5830846610507,234561.7408001635
579.3359709730827,513366.6667,463368.3333,27.87626667,0.0,0.0,27.87626667,532.7498639401545,154195.31724823057
790.1353094141703,455533.3333,370312.6667,27.93961667,27.51332333,0.0,27.51332333,303.3685549045423,52183.3733820826
551.8554712375885,428533.3333,368403.3333,27.44299333,0.0,27.44299333,0.0,558.1242750431713,195906.39745557017
869.4526908419341,432700.0,342593.0,0.0,29.38611667,29.38597667,29.38592333,510.0906154745199,130002.96480658124
706.6018835901904,449100.0,383999.0,0.0,0.0,32.28338667,32.28338667,904.0057684259634,138383.9304867491
572.034912230514,411700.0,331307.6667,28.0885,28.0885,0.0,0.0,702.2010746385653,168746.69479168922
908.6833742785432,428800.0,327635.0,0.0,30.6,30.6,30.6,388.7155517115637,62196.63555271873
611.0181331141895,468700.0,405469.0,28.60576667,0.0,28.61304,0.0,881.9425891030381,184896.6778192833
938.134972438024,494133.3333,404137.6667,29.53774667,29.53774667,0.0,29.53774667,903.2163331387268,62279.82495070632
336.23104656384174,487033.3333,461603.6667,32.17496333,0.0,0.0,0.0,555.5298386663073,268015.69994670193
243.0789461822968,481633.3333,384113.3333,0.0,0.0,25.0,0.0,964.3318772243992,63172.36949467019
869.0710486571109,460500.0,370543.6667,28.86411667,28.86411667,28.86411667,0.0,690.7384584029242,177662.71869758607
944.0285167586496,322900.0,206279.3333,27.28933333,27.28933333,27.28933333,27.28933333,661.0926589994235,286077.83032138005
763.9757255710074,447200.0,338542.3333,29.0,0.0,29.0,29.0,394.4960315721154,138483.44354956385
859.2816836368972,473466.6667,374132.3333,30.32892,0.0,30.50844667,30.46315667,555.7106429049651,235489.16276655387
827.6731269117251,460500.0,370543.6667,28.86411667,28.86411667,28.86411667,0.0,513.5065463365662,172386.41479078223
917.0010086299852,413666.6667,323813.6667,29.70631667,29.70631667,0.0,29.70631667,311.7326426177026,18769.72973508977
956.6600257462392,447100.0,319530.6667,28.92526333,28.92547667,28.92543,28.92568667,500.5830846610507,234561.7408001635
540.0906278139053,449600.0,389556.3333,0.0,0.0,26.99358667,26.99358667,492.0131908493828,152040.8830889305
508.6098652759424,407266.6667,343316.0,26.00250333,0.0,26.00250333,0.0,513.5065463365662,172386.41479078223
302.14393536687567,566233.3333,541263.0,30.11989667,0.0,0.0,0.0,338.03173382696434,126724.92622075402
985.9269958404648,465633.3333,347453.3333,28.8,28.8,28.8,28.8,511.3235348299817,231690.2300669725
921.0951662058887,433466.6667,313195.0,27.83964667,27.83964667,27.83964667,27.83964667,439.6938831298952,170604.85733784636
1009.3720998947236,415866.6667,314640.6667,31.88366333,31.88719333,31.88753333,0.0,968.2733532006312,126150.0653897364
