,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
2077,79170,1598282070,449733.3333,388772.6667,27.23421667,27.23421667,0.0,0.0,562.9214267,1.0,1.0,0.001,0.001
2164,82290,1598469270,503000.0,443580.0,28.8672,28.8672,0.0,0.0,610.2992,1.0,1.0,0.001,0.001
1424,52470,1596680070,440066.6667,320052.3333,28.82639,28.82639,28.82639,28.82639,1032.81304,1.0,1.0,1.0,1.0
1200,44100,1596177870,468066.6667,348639.3333,28.72752,28.70814667,28.70934667,28.74302667,1030.18216,1.0,1.0,1.0,1.0
685,25680,1595072670,540100.0,502748.3333,0.0,0.0,26.00122,0.0,287.1322533,0.001,0.001,1.0,0.001
2150,81840,1598442270,447733.3333,369183.0,27.13608667,27.13608667,27.13608667,0.0,795.9388267,1.0,1.0,1.0,0.001
2271,86040,1598694270,513366.6667,463368.3333,27.87626667,0.0,0.0,27.87626667,615.11772,1.0,0.001,0.001,1.0
4,150,1593540870,449600.0,389556.3333,0.0,0.0,26.99358667,26.99358667,575.42352,0.001,0.001,1.0,1.0
389,14970,1594430070,435633.3333,333681.3333,29.0,0.0,29.0,29.0,833.6181467,1.0,0.001,1.0,1.0
1035,38070,1595816070,438166.6667,337933.0,29.13588,0.0,29.13588,29.13588,848.8735733,1.0,0.001,1.0,1.0
1182,43350,1596132870,432866.6667,348987.3333,28.80002667,28.54929667,28.60613667,0.0,837.1846,1.0,1.0,1.0,0.001
1100,40410,1595956470,409866.6667,319618.0,28.9961,28.9961,0.0,28.9961,856.1723333,1.0,1.0,0.001,1.0
736,27210,1595164470,432900.0,405671.3333,0.0,0.0,25.0,0.0,284.02612,0.001,0.001,1.0,0.001
438,16470,1594520070,465133.3333,403356.6667,0.0,0.0,25.0,0.0,254.3719733,0.001,0.001,1.0,0.001
2051,76440,1598116470,460600.0,382755.3333,27.07947,27.07947,0.0,27.07947,802.38312,1.0,1.0,0.001,1.0
617,23490,1594939470,356233.3333,327025.3333,34.99193667,0.0,0.0,0.0,401.058,1.0,0.001,0.001,0.001
1429,52620,1596689070,446966.6667,326766.0,28.54948333,28.54948333,28.54948333,28.54946667,1020.31076,1.0,1.0,1.0,1.0
2289,86910,1598746470,552500.0,455584.6667,25.0,0.0,0.0,0.0,158.92828,1.0,0.001,0.001,0.001
1280,46860,1596343470,458766.6667,379601.0,0.0,0.0,25.0,0.0,243.2933067,0.001,0.001,1.0,0.001
1444,53070,1596716070,437100.0,316869.6667,28.76045333,28.76045333,28.76045333,28.76045333,1027.36732,1.0,1.0,1.0,1.0
911,33360,1595533470,379666.6667,319762.0,31.48261,0.0,0.0,31.48364667,674.9568933,1.0,0.001,0.001,1.0
1356,49950,1596528870,449900.0,319790.0,29.47288333,29.47288333,29.47288333,29.47288333,1035.714587,1.0,1.0,1.0,1.0
173,7980,1594010670,426300.0,326736.0,27.05167,27.05167,0.0,27.05117667,742.5122133,1.0,1.0,0.001,1.0
1859,69210,1597684470,454700.0,387413.6667,27.01831333,0.0,0.0,27.01870667,567.3179867,1.0,0.001,0.001,1.0
353,13770,1594358070,442100.0,345486.6667,27.5,0.0,27.5,27.5,780.9952267,1.0,0.001,1.0,1.0
1997,74550,1598004870,428333.3333,327721.3333,27.91939333,27.91939333,0.0,27.91939333,792.4685067,1.0,1.0,0.001,1.0
2302,87300,1598769870,479200.0,381192.6667,25.0,0.0,0.0,0.0,223.7755333,1.0,0.001,0.001,0.001
926,33810,1595560470,435800.0,375637.6667,30.94688667,0.0,0.0,30.94688667,661.1787467,1.0,0.001,0.001,1.0
820,30300,1595349870,383000.0,323003.0,0.0,0.0,29.21549667,29.21711333,638.4206267,0.001,0.001,1.0,1.0
