,Fcw_ypred,Fcw_yobse,ts
0,2024.403800918172,2031.4586666666667,1593534570.0
1,2046.1528771479007,2055.1613333333335,1593538170.0
2,2039.3651434713402,2040.744,1593541770.0
3,2008.5642217720056,2008.4641666666664,1593545370.0
4,2007.1001383947969,2011.9626666666666,1593548970.0
5,1979.6962385591946,1979.6051666666667,1593552570.0
6,1990.5091356956846,1998.895,1593556170.0
7,2012.4128131340076,2006.1298333333332,1593559770.0
8,2025.1358054828195,2022.1964999999998,1593563370.0
9,2000.2225921215472,1993.6593333333333,1593566970.0
10,1977.4837402498943,1973.8173333333332,1593570570.0
11,1956.8291454740383,1958.0431666666666,1593574170.0
12,2087.230411845563,2094.998,1593577770.0
13,2197.661455784869,2210.313333333333,1593581370.0
14,2164.284059951405,2185.8046666666664,1593584970.0
15,2141.468963922647,2145.230666666667,1593588570.0
16,2198.5364942348224,2205.5075,1593592170.0
17,2196.9446816888762,2196.8721666666665,1593595770.0
18,2080.3563489683947,2100.492333333333,1593599370.0
19,1964.541290485778,1964.0948333333333,1593602970.0
20,1945.9889391430183,1949.4886666666669,1593606570.0
21,1954.6229139254783,1962.0008333333333,1593610170.0
22,1950.7235370273038,1962.1978333333332,1593613770.0
23,1941.143938445056,1943.1606666666667,1593617370.0
24,1950.1184986578214,1948.2688333333333,1593620970.0
25,1962.9006894390006,1959.9896666666668,1593624570.0
26,1976.1718272968028,1976.3241666666665,1593628170.0
27,1990.527437725939,2004.9205,1593631770.0
28,1988.84187601134,1984.5158333333334,1593635370.0
29,1979.2219751272671,1974.4286666666667,1593638970.0
30,2020.920226228639,2018.3593333333333,1593642570.0
31,2075.018775833696,2079.8333333333335,1593646170.0
32,2108.4310247454036,2107.3596666666667,1593649770.0
33,2278.3908655211626,2261.991666666667,1593653370.0
34,2386.6659776200327,2368.1786666666667,1593656970.0
35,2417.191062551622,2387.8866666666668,1593660570.0
36,2486.194060803132,2459.398166666667,1593664170.0
37,2509.4750077389717,2475.3885,1593667770.0
38,2517.28451853554,2501.5906666666665,1593671370.0
39,2514.8692218479855,2488.6468333333332,1593674970.0
40,2275.692716780656,2270.1904999999997,1593678570.0
41,1271.1583815465701,1325.9855,1593682170.0
42,980.2379224368824,1002.3493333333333,1593685770.0
43,985.6941965666697,1023.9488333333334,1593689370.0
44,993.7025308479967,1028.2735,1593692970.0
45,999.1898866712727,1013.6313333333333,1593696570.0
46,1010.897468968574,1046.1601666666668,1593700170.0
47,1050.157520433532,1095.2808333333335,1593703770.0
48,1100.5021635024452,1154.1885,1593707370.0
49,1145.842099241826,1227.619,1593710970.0
50,1187.649871986314,1266.7983333333332,1593714570.0
51,1686.007390259741,1768.359,
52,1799.6426779875092,1805.9591666666668,
53,1734.885645605158,1715.5098333333333,
54,2227.5421788177864,2203.424666666667,
55,2876.2295034114986,2905.7163333333333,1593732570.0
56,2994.3687338979007,3011.7841666666664,1593736170.0
57,2993.9833377648392,3010.7196666666664,1593739770.0
58,2992.765414928158,2996.324833333333,1593743370.0
59,2993.76035856129,3007.2103333333334,1593746970.0
60,2999.516345008497,3015.772,1593750570.0
61,2988.9012711864166,2997.5080000000003,1593754170.0
62,3043.9283384421574,3075.302166666667,1593757770.0
63,3373.4673280562865,3256.52,1593761370.0
64,2761.714841496344,2515.887333333333,1593764970.0
65,2540.803540281908,2335.2,1593768570.0
66,2236.8815520977478,2127.6685,1593772170.0
67,2079.172403617894,1983.0086666666668,1593775770.0
68,2049.479986131333,1927.0026666666668,1593779370.0
69,2037.8117392560216,1920.0981666666667,1593782970.0
70,2011.5138327061388,1878.2038333333333,1593786570.0
71,1020.7809457973335,1105.742,1593790170.0
72,1048.4539526810702,576.5368333333333,1593793770.0
73,1644.5483481801607,1590.2083333333333,1593797370.0
74,2377.8754988777378,2392.844,1593800970.0
75,1865.1290758867472,1861.0638333333334,1593804570.0
76,1345.9146608752849,1405.6531666666667,
77,1167.3161897455682,1114.0966666666668,
78,1165.8975161519384,1112.3764999999999,
79,1041.2160127102463,975.1785,
80,1081.0255010058809,920.2595,1593822570.0
81,935.2261185746097,746.2553333333333,1593826170.0
82,1138.8233601031711,1059.4436666666668,1593829770.0
83,1067.0719822543797,1022.4823333333334,1593833370.0
84,1027.6731643642074,1001.0593333333333,1593836970.0
85,1015.7946995302091,995.4803333333333,1593840570.0
86,1010.9860341507629,983.4413333333333,1593844170.0
87,1008.9703535867116,985.8558333333333,1593847770.0
88,1003.2505226548462,949.8533333333332,1593851370.0
89,2816.6822289785523,2837.4605,
90,2621.431044009993,2444.5029999999997,
91,2669.2145040123814,2460.1133333333332,
92,2845.874941225485,2721.7378333333336,
93,2797.0007214865936,2644.7475,
94,2746.554720871948,2622.5851666666667,
95,2742.366058809322,2604.2431666666666,
96,2759.4862318135615,2642.539333333333,
97,2766.2565583499036,2630.2168333333334,
98,2781.499091885995,2654.348166666667,
99,2790.4164662676603,2692.9266666666667,
100,2783.8796276215257,2667.1091666666666,
101,2782.847045259758,2651.6346666666664,
102,2787.4339740322202,2676.1473333333333,
103,2792.6498507202136,2688.6031666666668,
104,2844.503617370656,2760.8013333333333,
105,2391.1726759427415,2405.380166666667,
106,2350.0770113136973,2335.6635,1593916170.0
107,2369.2608284262833,2369.160666666667,1593919770.0
108,2381.8207405668636,2383.962833333333,1593923370.0
109,1412.9267706564187,1574.9543333333334,1593926970.0
110,954.4459001688119,1247.0545,1593930570.0
111,2945.8846948859646,2959.975833333333,1593934170.0
112,2986.7776239979585,3011.246833333333,1593937770.0
