,Fcw_ypred,Fcw_yobse,ts
0,2025.5936836181215,2031.4586666666667,1593534570.0
1,2044.394043642947,2055.1613333333335,1593538170.0
2,2038.126565625186,2040.744,1593541770.0
3,2012.2604154119356,2008.4641666666664,1593545370.0
4,2010.9193787868496,2011.9626666666666,1593548970.0
5,1987.4674532979245,1979.6051666666667,1593552570.0
6,1996.8122773161315,1998.895,1593556170.0
7,2015.3504582034438,2006.1298333333332,1593559770.0
8,2026.0895285359477,2022.1964999999998,1593563370.0
9,2005.0448033260398,1993.6593333333333,1593566970.0
10,1984.9585922618155,1973.8173333333332,1593570570.0
11,1968.7396692228906,1958.0431666666666,1593574170.0
12,2080.7046679632185,2094.998,1593577770.0
13,2185.37190789621,2210.313333333333,1593581370.0
14,2152.716648819028,2185.8046666666664,1593584970.0
15,2130.9015866987183,2145.230666666667,1593588570.0
16,2187.121226165404,2205.5075,1593592170.0
17,2185.1552036262206,2196.8721666666665,1593595770.0
18,2073.3476629351117,2100.492333333333,1593599370.0
19,1973.6051034822895,1964.0948333333333,1593602970.0
20,1960.1859312130123,1949.4886666666669,1593606570.0
21,1967.2540597964394,1962.0008333333333,1593610170.0
22,1963.8115297341985,1962.1978333333332,1593613770.0
23,1956.3322097271862,1943.1606666666667,1593617370.0
24,1963.6824158915906,1948.2688333333333,1593620970.0
25,1973.8713375123798,1959.9896666666668,1593624570.0
26,1984.539393094405,1976.3241666666665,1593628170.0
27,1996.870850490532,2004.9205,1593631770.0
28,1995.1266012957562,1984.5158333333334,1593635370.0
29,1987.3014381549895,1974.4286666666667,1593638970.0
30,2022.6335004972332,2018.3593333333333,1593642570.0
31,2069.376435039537,2079.8333333333335,1593646170.0
32,2098.364969597706,2107.3596666666667,1593649770.0
33,2263.654167150231,2261.991666666667,1593653370.0
34,2369.5999924707394,2368.1786666666667,1593656970.0
35,2401.782529072817,2387.8866666666668,1593660570.0
36,2475.017881745237,2459.398166666667,1593664170.0
37,2500.518477249464,2475.3885,1593667770.0
38,2509.364759266059,2501.5906666666665,1593671370.0
39,2506.451270212111,2488.6468333333332,1593674970.0
40,2257.2856185174824,2270.1904999999997,1593678570.0
41,1350.1651720774614,1325.9855,1593682170.0
42,969.5503513981819,1002.3493333333333,1593685770.0
43,977.510211398511,1023.9488333333334,1593689370.0
44,988.0035396913138,1028.2735,1593692970.0
45,995.3094686555504,1013.6313333333333,1593696570.0
46,1010.6272625546549,1046.1601666666668,1593700170.0
47,1062.8160815723277,1095.2808333333335,1593703770.0
48,1130.0599127723358,1154.1885,1593707370.0
49,1188.8094653053745,1227.619,1593710970.0
50,1243.132096736941,1266.7983333333332,1593714570.0
51,1793.4252233274865,1768.359,
52,1825.1378554958987,1805.9591666666668,
53,1744.0468519450865,1715.5098333333333,
54,2210.0240601656337,2203.424666666667,
55,2910.405655731483,2905.7163333333333,1593732570.0
56,2996.632945525552,3011.7841666666664,1593736170.0
57,2995.6532172573307,3010.7196666666664,1593739770.0
58,2993.7730235020836,2996.324833333333,1593743370.0
59,2995.474535302868,3007.2103333333334,1593746970.0
60,3003.1596726900652,3015.772,1593750570.0
61,2988.4870214416405,2997.5080000000003,1593754170.0
62,3085.167006610959,3075.302166666667,1593757770.0
63,3308.510045078436,3256.52,1593761370.0
64,2542.5488502106837,2515.887333333333,1593764970.0
65,2387.4097570516733,2335.2,1593768570.0
66,2222.402426919132,2127.6685,1593772170.0
67,1972.1818721591512,1983.0086666666668,1593775770.0
68,1945.8985857145083,1927.0026666666668,1593779370.0
69,1936.090834774181,1920.0981666666667,1593782970.0
70,1915.4072744882508,1878.2038333333333,1593786570.0
71,1109.8142557518165,1105.742,1593790170.0
72,971.8398561612253,576.5368333333333,1593793770.0
73,1691.044815902294,1590.2083333333333,1593797370.0
74,2366.2961683261115,2392.844,1593800970.0
75,1896.2496697569534,1861.0638333333334,1593804570.0
76,1414.1287556806928,1405.6531666666667,
77,1097.4778426108642,1114.0966666666668,
78,1095.6097891252934,1112.3764999999999,
79,948.3274586603561,975.1785,
80,984.0081655724156,920.2595,1593822570.0
81,801.4406917948236,746.2553333333333,1593826170.0
82,1009.3686120270012,1059.4436666666668,1593829770.0
83,981.0878036478646,1022.4823333333334,1593833370.0
84,976.1984149474691,1001.0593333333333,1593836970.0
85,980.714477586626,995.4803333333333,1593840570.0
86,982.0055609321765,983.4413333333333,1593844170.0
87,980.6638073383187,985.8558333333333,1593847770.0
88,954.9210295302701,949.8533333333332,1593851370.0
89,2808.914098425635,2837.4605,
90,2482.499172359576,2444.5029999999997,
91,2532.0272097541188,2460.1133333333332,
92,2753.4526284748745,2721.7378333333336,
93,2689.121989682125,2644.7475,
94,2643.991308068015,2622.5851666666667,
95,2644.896682137132,2604.2431666666666,
96,2663.501875980825,2642.539333333333,
97,2671.69280363082,2630.2168333333334,
98,2691.6025291943456,2654.348166666667,
99,2704.9853853513705,2692.9266666666667,
100,2692.473568170682,2667.1091666666666,
101,2690.5435209599445,2651.6346666666664,
102,2699.1868015062464,2676.1473333333333,
103,2709.414838393929,2688.6031666666668,
104,2763.851623628792,2760.8013333333333,
105,2401.2403082615965,2405.380166666667,
106,2342.075741597926,2335.6635,1593916170.0
107,2368.20457626177,2369.160666666667,1593919770.0
108,2385.3050114810417,2383.962833333333,1593923370.0
109,1487.8220676026826,1574.9543333333334,1593926970.0
110,1208.0337613632205,1247.0545,1593930570.0
111,2940.9790754565197,2959.975833333333,1593934170.0
112,3021.9521017511966,3011.246833333333,1593937770.0
113,2905.8617297678074,2905.281,1593941370.0
114,2901.357689655443,2897.121,
115,2905.640572486842,2906.9773333333337,
116,2845.0406289023576,2838.023333333333,
117,2907.0112589979094,2890.1216666666664,
118,2921.8151450606074,2904.101166666667,
119,2884.0182898468192,2881.734,
120,2834.955140288813,2829.5255,
121,2835.2024307206116,2821.0116666666668,
122,2769.0615808015314,2753.3241666666668,
123,2773.3741241142397,2751.0558333333333,
124,2778.7461532654265,2758.4523333333336,
125,2777.769472557782,2761.1393333333335,
126,2787.441249116697,2782.6538333333333,
127,2781.7250274407584,2761.8456666666666,
128,2451.9921613284328,2420.7985,1593995370.0
129,2234.652276412153,2238.387166666667,1593998970.0
130,2153.582845123266,2158.1183333333333,1594002570.0
131,1298.8505316594105,1304.8464999999999,1594006170.0
132,1269.908574601923,1295.7915,1594009770.0
133,1579.1184819276318,1606.8458333333333,1594013370.0
134,2782.4709332951593,2757.1648333333337,1594016970.0
135,2993.4866887842163,2972.837,1594020570.0
136,3017.1979302730792,3020.33,1594024170.0
137,2994.617502692665,2994.1695000000004,1594027770.0
138,3017.357546295306,3012.561,1594031370.0
139,3002.847485208716,2997.822833333333,1594034970.0
140,2999.354323542114,3000.0683333333336,1594038570.0
141,2909.4463110012107,2914.3335,1594042170.0
142,2986.895855041295,2994.735666666667,1594045770.0
143,2938.4288485482234,2941.575333333333,1594049370.0
144,2819.1794575586246,2823.238166666667,1594052970.0
145,2802.156534729908,2805.536333333333,1594056570.0
146,2796.60669471448,2785.9535,1594060170.0
147,2798.2449982179905,2797.504,1594063770.0
148,2803.5499841276974,2806.6781666666666,1594067370.0
149,2819.4949756074025,2811.5088333333333,
150,2826.146379648868,2815.985666666667,1594074570.0
151,2839.789630649169,2830.3945000000003,1594078170.0
152,2841.381821793263,2827.972,1594081770.0
153,2830.7376324725756,2838.6025,1594085370.0
154,2834.6776530168568,2814.524166666667,1594088970.0
155,2395.771935070018,2489.9266666666667,1594092570.0
156,773.3499798836827,819.3553333333333,1594096170.0
157,1421.6492014079295,1369.7381666666668,1594099770.0
158,2891.603154971275,2910.1663333333336,1594103370.0
159,2857.27237874851,2844.2728333333334,1594106970.0
160,2874.641946148633,2861.789333333333,1594110570.0
161,2887.3187575858638,2870.3143333333333,1594114170.0
162,2889.5618814168615,2895.5313333333334,1594117770.0
163,2902.658659779944,2899.739666666667,1594121370.0
164,2894.4583226790364,2890.2794999999996,1594124970.0
165,2873.4501904327553,2854.6781666666666,1594128570.0
166,2884.2421762637023,2871.634833333333,1594132170.0
167,2895.1125844022085,2889.429166666667,1594135770.0
168,2885.654743338182,2886.944,1594139370.0
169,2823.8210793835374,2805.0323333333336,1594142970.0
170,2817.1247772672127,2806.1421666666665,1594146570.0
