time,chiller_1.dp_nominal,chwp_18_pipe.dp_nominal,bypass_pipe.dp_nominal,chwp_1.y_actual,chwp_1.dp,chwp_1.port_b.p,bypass_pipe.m_flow,bypass_pipe.dp,prim_sup_pipe.port_b.p,chw_ret_pipe.port_b.p,chiller_1.m_flow,chwp_1.m_flow,chiller_1.dp,chwp_18.dp,chwp_18.port_b.p,chwp_18_pipe.m_flow,chwp_18_pipe.dp,chwp_18_pipe.port_b.p,secd_ret_pipe.port_b.p,prim_ret_pipe.port_b.p,chw_sup_m.m_flow,terminal_resist1.dp,terminal_resist1.y_actual,chw_sup_P.p,secd_sup_pipe.port_b.p
0.0,42190.33748431102,362.0061400184678,500000.0,0.0,1.3806469598418372e-21,316000.0,-3.5391830011605113e-15,-6.635968127175959e-13,316000.0,316000.0,1.1852190612423034e-20,1.1852190612423034e-20,1.8751797069994155e-19,-7.486099659664456e-13,316000.0,-4.12176582690128e-12,-6.687719538600119e-13,316000.0,316000.0,316000.0,3.539420161551879e-15,5.30913024232782e-16,1.0,316000.0,316000.0
2.510353052542731e-09,42190.33748431102,362.0061400184678,500000.0,6.514060892748182e-10,-6.831711144882178e-14,316000.0,-3.466084281363601e-15,-6.498908027556752e-13,316000.0,316000.0,1.1566888796954972e-20,1.1566888796954972e-20,1.8300410324513498e-19,-7.316306479775762e-13,316000.0,-3.32434504731787e-12,-5.393874436265674e-13,316000.0,316000.0,316000.0,3.4663157329127165e-15,5.199473600723727e-16,0.9999999998697188,316000.0,316000.0
2.5106040878479854e-05,42190.33748431102,362.0061400184678,500000.0,6.5146698661245226e-06,-6.832742452534833e-06,315999.99999285804,-3.826999409785344e-08,-7.1756238933475195e-06,315999.9999928243,315999.99999999994,2.113720611461257e-09,2.113720611461257e-09,3.3441969729410514e-08,-1.0316754884216445e-05,316000.0000022218,1.3603660740160932e-05,2.2072449418327076e-06,316000.00000001455,315999.9999928242,315999.99999999994,5.404406456223548e-08,8.106630807121654e-09,0.9999986970596613,316000.0000000081,316000.0000000081
0.000276141346132753,42190.33748431102,362.0061400184678,500000.0,7.165202574179139e-05,-0.0008243124968210677,315999.9994813428,-4.417996168184775e-06,-0.0008283742815346493,315999.9991715016,315999.9999998758,1.942609934677265e-05,1.942609934677265e-05,0.00030734763279156315,-0.0012448767693491519,316000.00030391023,0.0016626902653824407,0.0002697777276114953,316000.0000341325,315999.9991713774,315999.99999977066,0.00012630727319431763,1.894663396707754e-05,0.9999856691005274,316000.00001894665,316000.00001894665
0.0008457828043686782,42190.33748431102,362.0061400184678,500000.0,0.00021944432934503332,-0.007694648964080055,316000.00086325157,-3.793967134259769e-05,-0.007113688376739596,315999.9928832003,315999.9999968887,0.0005003254561718688,0.0005003254561718688,0.007915837443445397,-0.011623787139015788,316000.0034311529,0.015876238217572263,0.0025759793842220647,316000.0008551735,315999.992880089,315999.9999941903,0.003164465863232324,0.0004747115709804135,0.9999561072307618,316000.0004747116,316000.0004747116
0.0019422298977245513,42190.33748431102,362.0061400184678,500000.0,0.0005038546263815367,-0.04044802558619119,316000.02203805384,-0.00018838970152689621,-0.03532306903660258,315999.9646541306,315999.99997719965,0.0035977730333123605,0.0035977730333123605,0.05692172210719993,-0.061072995570469274,316000.0199893622,0.08457164388393684,0.013722100814624563,316000.0062672614,315999.9646313303,315999.999957348,0.0231897403866084,0.00347917164027801,0.9998992095137843,316000.00347917166,316000.00347917166
0.003916665106316631,42190.33748431102,362.0061400184678,500000.0,0.0010158056605121127,-0.16409825342023077,316000.12430594227,-0.0007403743346951763,-0.1388201877741344,315999.8610740671,315999.9998942549,0.016503652815739556,0.016503652815739556,0.26111052331768275,-0.24738798506842047,316000.08501533174,0.34478124608149396,0.05594439507760638,316000.02907093667,315999.860968322,315999.99980207044,0.10755098663353235,0.01614014033922161,0.9997967606801834,316000.01614014036,316000.01614014036
0.007398485431906521,42190.33748431102,362.0061400184678,500000.0,0.0019179688141057255,-0.5835945702815849,316000.5052043306,-0.0025758259540878403,-0.48296736718268746,315999.51663382945,315999.99960119656,0.061979419163911344,0.061979419163911344,0.9806006594570582,-0.8751063123637451,316000.3071796309,1.216433818940243,0.1974739568019399,316000.1097056741,315999.516235026,315999.99925334856,0.4056139609709599,0.060938911936302104,0.9996161290620407,316000.0609389119,316000.0609389119
0.013590633456350122,42190.33748431102,362.0061400184678,500000.0,0.0035203856790034043,-1.955032708472873,316001.8066526271,-0.008171282183055073,-1.5321154345818684,315998.4665516489,315999.9986670834,0.2094062276753773,0.2094062276753773,3.3131306535213274,-2.820221706961212,316000.9772061736,3.733220643480328,0.6087055547317205,316000.36850061885,315998.4652187323,315999.99750409747,1.3556741162951695,0.20550797216809188,0.9992949904197764,316000.20550797216,316000.20550797216
0.025934184070274785,42190.33748431102,362.0061400184678,500000.0,0.0067070104006844945,-6.97785998836328,316006.6909419842,-0.02378657471196277,-4.459983381570374,315995.535824419,315999.99580780056,0.6991746335389009,0.6991746335389009,11.063240342348278,-8.638446840228209,316002.76515746844,9.291734207305572,1.5534140709883244,316001.21174339746,315995.53163221956,315999.99214842735,4.263613803313847,0.6991099050429896,0.9986552109073719,316000.69910990505,316000.69910990505
