time,chw_sup_P.p,chw_sup_m.m_flow,terminal_resist.y_actual
0.0,334866.3333,-3.4911769074392035e-16,1.0
1.0419180254429047e-08,334866.3333,-3.4911769074392035e-16,0.9999999993308465
0.0001042022217245449,334866.33330010547,1.687674168545351e-06,0.9999933078409129
0.0011461202471674495,334866.3334043942,0.001665641771178606,0.9999263959566836
0.003714479229022725,334866.33429940185,0.015982789256749397,0.9997614751495608
0.009504763480414607,334866.34011528135,0.1089069850465017,0.999389766320799
0.022861948221716357,334866.3730886359,0.6338674841211382,0.9985328291774818
0.054986572562260236,334866.5665307889,3.5505798528063783,0.9964748912545954
0.13575449484936924,334868.72487889644,18.32200585864303,0.9913196887460056
0.32000000597880446,334893.1672609013,60.89756787863845,0.979660074759971
0.6512179325776931,335008.5662073046,137.2532128199964,0.9590458600245166
0.9824358591765818,335198.6496517553,205.38348702543254,0.9388702843026379
1.3136537857754704,335452.2772442932,266.9853117662136,0.9191243390433855
1.644871712374359,335761.24493907904,323.0140741621999,0.8997985417263157
2.4012703699949647,336637.2509438377,432.8782330463548,0.8571919510881563
3.15766902761557,337704.38398534624,522.0647045822446,0.8166261089922427
3.9140676852361755,338925.007438897,594.7942651524165,0.7780025890342586
4.670466342856781,340275.7119177123,654.2174061974416,0.7412283086085535
5.426865000477387,341742.2655061156,702.7517266531316,0.7062148020268862
6.183263658097993,343316.8960983609,742.30330076922,0.6728778248376097
6.939662315718599,344997.4174620191,774.4340553682406,0.6411371272715658
7.696060973339205,346785.987145558,800.4282809840997,0.6109162797656575
8.844458093247006,349720.1005080953,830.4448824114133,0.5677775296325173
9.992855213154806,352947.1542074444,851.619317746909,0.5277355165706752
11.141252333062607,356509.1993287958,866.1282423681239,0.4905671592676655
12.289649452970407,360452.16089700686,875.5094696618637,0.4560663959667245
13.438046572878207,364823.01590018405,880.8384423901512,0.4240422897609773
14.586443692786007,369668.5193637953,882.8706763629923,0.39431734441515237
15.734840812693808,375028.367017213,882.0767740837701,0.3667265086722459
17.611470876681707,384966.72619206645,875.3707994773217,0.32583699842796476
19.488100940669604,396458.8658202254,862.780746028268,0.2896334144930854
21.3647310046575,409504.34111514,844.6900000688347,0.2575792821790683
22.380864197857203,417168.77657014184,832.6330626950191,0.24178528871566066
22.93436118826614,421508.06483975827,825.4283040278626,0.23361035884411677
23.259250470425208,424103.0932149979,820.9856259864321,0.2289476411157213
23.584139752584274,426730.0048737546,816.3918620742272,0.22438583048501629
23.90902903474334,429384.3079991798,811.6569413997654,0.2199277559368733
24.233918316902407,432060.64416780666,806.7940860847646,0.21557730547930118
24.558807599061474,434753.4049621568,801.8187225612772,0.21133832867099586
24.88369688122054,437457.07329186524,796.7480641248549,0.20721422396582137
25.208586163379607,440166.54323000816,791.602401425749,0.20320808455790437
25.533475445538674,442873.44714882196,786.3920539728083,0.19932293322354383
25.85836472769774,445567.7928026103,781.1249859135892,0.1955617888903065
26.386305934076237,449891.6828425483,772.4685907991359,0.1897218542964885
26.914247140454734,454105.73904836044,763.7310679262109,0.18422859729758187
27.44218834683323,458159.45322832937,754.9650511589018,0.17909240066350374
27.970129553211727,462010.22261082823,746.25484788369,0.17432212770542307
29.52955036454869,471994.035075595,722.1210718704525,0.16242103456434492
31.088971175885654,479603.5333825141,702.7536175167153,0.15384839437249884
32.64839198722262,484495.3859374214,690.0922969987062,0.14858301972424967
34.20781279855958,486513.53445515264,684.832643599352,0.14646470890677327
36.663571284301234,484342.46390983084,690.6980032382683,0.14878962407198099
38.25237426313611,480156.57407014497,701.6973221028921,0.15332416016445238
39.84117724197099,474510.17580266995,716.3073450084511,0.1596536051147762
41.42998022080587,467995.04551323387,732.7478114341476,0.16727123630061141
43.018783199640744,461071.54589286185,749.3342131640381,0.1756919876262856
44.60758617847562,454127.3472302985,764.8172090905232,0.18447401727564053
46.1963891573105,447521.56833930523,778.6108492156824,0.19323341621200113
47.785192136145376,441526.9177558526,790.6068183176226,0.201653343157001
50.6173669533499,432711.36982104095,807.6712460023557,0.2150926270132249
53.449541770554426,426285.4465894676,819.6640169101142,0.22583292981136574
56.28171658775895,421968.59146447055,827.4669569663926,0.23356739664584472
59.113891404963475,419395.89653319324,832.0134000599758,0.23839988600010673
61.946066222168,418217.8410077169,834.0686663379001,0.24067270048292863
64.77824103937253,418131.6293144566,834.2184431588576,0.24084057337190812
67.61041585657706,418871.0644893298,832.9312297674114,0.23940767779441047
70.4425906737816,420186.8703882105,830.624275437034,0.23689544353892036
75.5999014241489,423314.28816179704,825.0582360972035,0.23110800856392089
80.7572121745162,426335.67266406375,819.5730522069596,0.22574582437452512
85.9145229248835,428342.4522483224,815.8734899225722,0.22229993278328364
91.0718336752508,429013.3883437086,814.6268966970933,0.22116745531578774
94.61545868699925,428829.4905294358,814.9690372039807,0.22147689619506494
98.1590836987477,428313.1325230209,815.9278211844804,0.22234963252822618
101.70270871049614,427628.80965465266,817.1940915375587,0.2235151465706447
105.24633372224459,426907.5387375883,818.5232338764265,0.22475473052359343
108.78995873399303,426243.1965362433,819.7424117643775,0.22590677007059237
112.33358374574148,425695.80869014666,820.7432727092558,0.22686353926185304
117.77683465069653,425145.04408850556,821.7469128827306,0.22783319251977469
123.22008555565158,424934.7429050018,822.1292331145572,0.2282053089049713
128.66333646060662,424969.11901855725,822.0667728475124,0.22814441119306594
134.10658736556167,425116.8861706315,821.7981321101842,0.22788295622598204
139.54983827051672,425266.41523620853,821.5260364300642,0.22761890479676303
144.99308917547177,425357.01908650046,821.3610430566548,0.22745916276606457
