,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
7170,1625498070,543374.6667,454397.3333,0,0,0,25,233.0764482,0.001,0.001,0.001,1
7230,1625499870,373090.3333,284085.6667,0,0,0,25,234.1619685,0.001,0.001,0.001,1
7680,1625528670,431655,351273.6667,0,25.00012333,0,0,193.1617139,0.001,1,0.001,0.001
7710,1625530470,345718,315104,0,27.07351333,0,0,284.9449917,0.001,1,0.001,0.001
7770,1625532270,312963,280613.3333,0,28.21938333,0,0,308.3830093,0.001,1,0.001,0.001
7800,1625535870,323293,248207,0,25.00037333,0,25.00037333,481.6560926,0.001,1,0.001,1
7830,1625537670,339843,252951,0,25.00000333,0,25.00000333,461.1338889,0.001,1,0.001,1
7890,1625539470,340711.6667,252431.3333,0,25,0,25,460.3163055,0.001,1,0.001,1
7920,1625543070,411921.3333,382291.3333,0,0,0,25.52307333,284.5598037,0.001,0.001,0.001,1
7950,1625544870,463223.3333,433478,0,0,0,25.97524667,292.2978704,0.001,0.001,0.001,1
7980,1625546670,490452,460244.3333,0,0,0,26.14777,291.2307778,0.001,0.001,0.001,1
8040,1625548470,518548,488252,0,0,0,26.90113333,304.5126667,0.001,0.001,0.001,1
8100,1625552070,645081.3333,579978.3333,0,0,25,25,510.139787,0.001,0.001,1,1
8130,1625555670,543605.6667,442274,0,25.00421333,25,25.00421333,650.1786204,0.001,1,1,1
8160,1625557470,475348,377806.6667,0,28.06527333,25,28.06527333,723.5526852,0.001,1,1,1
8250,1625559270,588165.6667,490048,0,33.97197667,25,33.97197667,911.2524167,0.001,1,1,1
8280,1625564670,347917,258304,29.02035,29.02035,0,29.02035,866.1496482,1,1,0.001,1
8310,1625566470,359201.3333,270487.3333,28.22288333,28.22288333,0,28.22281667,829.4775648,1,1,0.001,1
8340,1625568270,343605.6667,256366,27.7022,27.70237,0,27.70237,804.2661111,1,1,0.001,1
8370,1625570070,333074,245921,27.39767667,27.39767667,0,27.39767667,791.3172037,1,1,0.001,1
8400,1625571870,326996,241234,27.05872333,27.05872333,0,27.05872333,776.3885463,1,1,0.001,1
8430,1625573670,321092.6667,236083,27.02817667,27.02822667,0,27.02822667,784.8629537,1,1,0.001,1
8460,1625575470,326071,240770.3333,27.04938,27.04938,0,27.04938,788.1931296,1,1,0.001,1
8490,1625577270,347598.6667,262674.3333,26.75355667,26.75355667,0,26.75355667,772.5952408,1,1,0.001,1
8520,1625579070,337152.3333,253905.6667,26.44326333,26.44326333,0,26.44326333,767.3931204,1,1,0.001,1
