,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
30,1593533670,442366.6667,381971.6667,0,0,26.72675333,26.72675333,568.8744133,0.001,0.001,1,1
60,1593535470,444833.3333,385272.3333,0,0,26.76871667,26.76871667,568.74244,0.001,0.001,1,1
90,1593537270,448333.3333,388454.6667,0,0,26.85973333,26.85973333,571.08884,0.001,0.001,1,1
120,1593539070,451366.6667,391493,0,0,27.08829333,27.08829333,579.8015067,0.001,0.001,1,1
150,1593540870,449600,389556.3333,0,0,26.99358667,26.99358667,575.42352,0.001,0.001,1,1
180,1593542670,446466.6667,386168.6667,0,0,26.83575333,26.83575333,567.39312,0.001,0.001,1,1
210,1593544470,444400,384547,0,0,26.63445,26.63445,566.0179467,0.001,0.001,1,1
240,1593546270,457266.6667,397453.6667,0,0,26.51277,26.51277,558.7219867,0.001,0.001,1,1
270,1593548070,470466.6667,410678.6667,0,0,26.5195,26.5195,558.96484,0.001,0.001,1,1
300,1593549870,473133.3333,413107,0,0,26.6032,26.6032,567.7342533,0.001,0.001,1,1
330,1593551670,475300,415075,0,0,26.2483,26.2483,550.71716,0.001,0.001,1,1
360,1593553470,491633.3333,431800.3333,0,0,26.30524,26.30524,557.8617333,0.001,0.001,1,1
390,1593555270,506266.6667,446499,0,0,26.30123,26.30123,558.7104133,0.001,0.001,1,1
420,1593557070,489166.6667,429137.3333,0,0,26.46945667,26.46945667,560.6707867,0.001,0.001,1,1
450,1593558870,449266.6667,389496,0,0,26.75617,26.75617,567.9569467,0.001,0.001,1,1
480,1593560670,430066.6667,369879.3333,0,0,26.48534,26.48534,555.47576,0.001,0.001,1,1
510,1593562470,430166.6667,370545,0,0,26.67677,26.67677,563.3162267,0.001,0.001,1,1
540,1593564270,435200,374680.6667,0,0,26.84225667,26.84225667,569.1138133,0.001,0.001,1,1
570,1593566070,431700,372020,0,0,26.31074,26.31074,550.7393733,0.001,0.001,1,1
600,1593567870,438466.6667,378298.6667,0,0,26.66781,26.66781,565.7098533,0.001,0.001,1,1
630,1593569670,436700,376477.6667,0,0,26.48298667,26.48298667,556.3141733,0.001,0.001,1,1
660,1593571470,437200,376216.3333,0,0,26.07565,26.07565,549.0235333,0.001,0.001,1,1
