time,chiller_1.dp_nominal,chwp_18_pipe.dp_nominal,bypass_pipe.dp_nominal,chwp_1.y_actual,chwp_1.dp,chwp_1.port_b.p,bypass_pipe.m_flow,bypass_pipe.dp,prim_sup_pipe.port_b.p,chw_ret_pipe.port_b.p,chiller_1.m_flow,chwp_1.m_flow,chiller_1.dp,chwp_18.dp,chwp_18.port_b.p,chwp_18_pipe.m_flow,chwp_18_pipe.dp,chwp_18_pipe.port_b.p,secd_ret_pipe.port_b.p,prim_ret_pipe.port_b.p,chw_sup_m.m_flow,terminal_resist1.dp,terminal_resist1.y_actual,chw_sup_P.p,secd_sup_pipe.port_b.p
0.0,17377.469816846908,5953.436372573617,500000.0,0.0,4.825333227921743e-18,261000.0,-6.427684079547236e-15,-1.2051907649151067e-12,261000.0,261000.0,4.1423166710437415e-17,4.1423166710437415e-17,2.6993618596081646e-16,-7.916646695600941e-14,261000.0,-4.358820386722112e-13,-1.1630958091954247e-12,261000.0,261000.0,261000.0,7.256554854754003e-15,5.212757057951838e-15,1.0,261000.0,261000.0
2.510353052542731e-09,17377.469816846908,5953.436372573617,500000.0,6.514060892748182e-10,-6.831708125572673e-14,261000.0,-6.646435401797448e-16,-1.2462066378370215e-13,261000.0,261000.0,2.707600991141863e-19,2.707600991141863e-19,1.764422043736219e-18,-8.170574084837291e-14,261000.0,-4.498630071745135e-13,-1.200402246329325e-12,261000.0,261000.0,261000.0,6.700614053760747e-16,4.813396150696615e-16,0.9999999999450376,261000.0,261000.0
2.5106040878479854e-05,17377.469816846908,5953.436372573617,500000.0,6.5146698661245226e-06,-6.832814164059727e-06,260999.9999950657,-2.6368956663630153e-08,-4.9441793744306535e-06,260999.99999505578,260999.99999999994,1.4981130755028477e-09,1.4981130755028477e-09,9.762530531915413e-09,-3.102751421382939e-07,260999.99999548143,-1.7083415075185886e-06,-4.558492141869809e-06,261000.00000003993,260999.99999505572,260999.99999999994,4.763082431733156e-08,3.421571166147659e-08,0.9999994503220446,261000.00000003423,261000.00000003423
0.000276141346132753,17377.469816846908,5953.436372573617,500000.0,7.165202574179139e-05,-0.0008248597173821763,260999.99965545256,-2.3590847207578705e-06,-0.0004423283851421013,260999.99955754413,260999.99999987253,1.4729803389893234e-05,1.4729803389893234e-05,9.598751768098975e-05,-3.431930081850402e-05,260999.9996045039,-0.00018895837318200405,-0.000504211397727303,261000.0001087153,260999.99955741665,260999.9999997627,0.0001296406300145962,9.312866688595445e-05,0.9999939541517849,261000.00009312868,261000.00009312868
0.000840504623575392,17377.469816846908,5953.436372573617,500000.0,0.0002180750276048378,-0.007601285381725546,261000.00095392327,-1.1690943259809634e-05,-0.0021920518612143806,260999.9978052777,260999.99999732955,0.0004738776354959387,0.0004738776354959387,0.0030880478655622686,-0.00027858189699726,260999.9981848384,-0.001533841913998919,-0.004092862163018579,261000.00227770055,260999.99780260725,260999.9999949955,0.00271605106340671,0.0019511512260813226,0.9999815982931869,261000.00195115124,261000.00195115124
0.0019236031211165407,17377.469816846908,5953.436372573617,500000.0,0.0004990236864872915,-0.039629652503342556,261000.02040930203,-3.007236548039846e-05,-0.00563856852757597,260999.99434288422,260999.99998145274,0.003923511490599132,0.003923511490599132,0.025567763536159305,-0.0013381454004372322,260999.99616042344,-0.007367684420052898,-0.019659729642953972,261000.0158201531,260999.99432433696,260999.99996519787,0.018863995976476134,0.013552145209373846,0.9999578867812398,261000.01355214522,261000.01355214522
0.003871870455679897,17377.469816846908,5953.436372573617,500000.0,0.0010041938331487772,-0.15997823128208355,261000.1169377498,-6.039733960863658e-05,-0.011324501176629559,260999.98859143356,260999.99991593472,0.019319599009791466,0.019319599009791466,0.12589716735248654,-0.005179581344922718,260999.99561484877,-0.028518216902972324,-0.07609725829014986,261000.07171210705,260999.98850736828,260999.99984219403,0.0855009277608922,0.061432377305760955,0.9999152389090016,261000.06143237732,261000.06143237732
0.007306016757856617,17377.469816846908,5953.436372573617,500000.0,0.0018940201892750953,-0.5670628845373042,261000.48058306734,-0.00010845453681795902,-0.020335225653426377,260999.9793506177,260999.99968584336,0.07545042471245302,0.07545042471245302,0.4916772454018456,-0.017996410951847192,261000.00373530257,-0.0990862999965999,-0.26440011095463645,261000.26813541353,260999.97903646107,260999.9994101691,0.3195216642003454,0.22971949035802056,0.9998400780152494,261000.22971949037,261000.22971949037
0.01341072331157569,17377.469816846908,5953.436372573617,500000.0,0.0034738645915988143,-1.892656865934175,261001.7254712181,-0.00018194119778636164,-0.03411397458522163,260999.96481004113,260999.99892401567,0.2650144423649819,0.2650144423649819,1.727010125663976,-0.05970142753965582,261000.0457232468,-0.32870962856137814,-0.8771532859123219,261000.9228765327,260999.9637340568,260999.9979796701,1.0943567516102914,0.7913022574976415,0.9997065096353793,261000.7913022575,261000.7913022575
0.025549780021476454,17377.469816846908,5953.436372573617,500000.0,0.006607926147461364,-6.673538821395963,261006.33519649482,0.0001764350794641878,0.03308157739978949,261000.02932011188,260999.99623853446,0.9482023750610865,0.9482023750610865,6.180381003323557,-0.21055034523848332,261000.316408957,-1.1592675188686248,-3.094824295360764,261003.41123325238,261000.02555864633,260999.99293657075,3.8255736546830543,2.951271068722629,0.9994410693075182,261002.9512710687,261002.9512710687
