time,chw_sup_P.p
0.0,271000.0
2.510353052542731e-09,271000.0
2.5106040878479854e-05,271000.0000002567
0.000276141346132753,271000.0004090622
0.0007791286112963272,271000.0050603013
0.0017100453735486123,271000.0284856781
0.0033620016473299534,271000.1177249613
0.006257885781270492,271000.4211279118
0.011379365464461388,271001.41462670785
0.02128991020984749,271005.01861572947
0.038767749190263434,271017.83672289323
0.05624558817067937,271042.2502922147
0.07372342715109531,271080.0185885247
0.09120126613151125,271130.39773894974
0.1099757348212598,271197.36252569885
0.12875020351100835,271276.88700601883
0.1475246722007569,271368.578467136
0.18376062982774402,271580.8322059605
0.21999658745473114,271840.6606682483
0.2562325450817183,272147.81288307643
0.2924685027087054,272503.4223910979
0.3287044603356925,272904.54346639203
0.3859399063672086,273626.46503875335
0.4431753523987247,274451.48991742055
0.5004107984302407,275373.71468420414
0.5576462444617568,276387.2671993344
0.6567061606772797,278340.5841568425
0.7557660768928026,280524.7514117771
0.8548259931083255,282918.031599679
0.9538859093238484,285500.8651658162
1.0529458255393713,288255.5162550275
1.2056828367181975,292802.57474033814
1.3584198478970237,297667.21199104306
1.51115685907585,302802.6953766342
1.6638938702546762,308165.03084769816
1.8166308814335024,313713.113073836
1.9693678926123286,319409.7561184062
2.122104903791155,325221.48433620116
2.274841914969981,331118.22861134936
2.570586905680934,342679.7854938258
2.7694996401945726,350494.86409363267
2.9684123747082114,358291.72501090675
3.16732510922185,366034.6708324261
3.366237843735489,373693.4095195758
3.5651505782491277,381242.41375673225
3.7640633127627665,388660.38460033346
3.9629760472764053,395929.8154378902
4.353158307724749,409705.8811244148
4.628882041444082,419020.9946975775
4.9046057751634144,427967.88384580537
5.180329508882747,436536.006975656
5.45605324260208,444720.3562722829
5.731776976321412,452520.4497911801
6.007500710040745,459939.4604478645
6.283224443760077,466983.47276333533
6.55894817747941,473660.8623512223
6.834671911198742,479981.78038947587
7.110395644918075,485957.7207562175
7.3861193786374075,491601.15490311675
7.66184311235674,496925.22712029435
7.937566846076073,501943.5038655342
8.213290579795405,506669.76880966616
8.489014313514737,511117.8552296724
8.764738047234069,515301.5095988371
9.0404617809534,519234.28214195045
9.316185514672732,522929.4398945285
9.591909248392064,526399.9008812063
9.867632982111395,529658.1837029242
10.143356715830727,532716.3697219383
10.557569044910627,536959.8651117954
10.971781373990527,540815.2187989606
11.385993703070428,544317.2816639899
11.800206032150328,547498.4151743951
12.214418361230228,550388.5368261997
12.628630690310128,553015.2084291202
13.042843019390029,555403.750569843
13.457055348469929,557577.3669606256
13.87126767754983,559557.2725755009
14.28548000662973,561362.8252674541
14.69969233570963,563011.6591358345
15.11390466478953,564519.8155501937
15.52811699386943,565901.8684973321
15.94232932294933,567171.0432590465
16.35654165202923,568339.3285579283
16.770753981109127,569417.5820376332
17.184966310189026,570415.6285835255
17.599178639268924,571342.3512326981
18.013390968348823,572205.7749067233
18.42760329742872,573013.1434065793
18.84181562650862,573770.9900369899
19.256027955588518,574485.2021536371
19.670240284668417,575161.0799727265
20.084452613748315,575803.3900604348
20.71554150654171,576727.0055926036
21.34663039933511,577595.7400466984
21.977719292128505,578420.7607889074
22.6088081849219,579211.4517268569
23.2398970777153,579975.641679986
23.870985970508695,580719.8107392687
24.50207486330209,581449.2723543686
25.133163756095488,582168.3265389164
25.764252648888885,582880.3887153346
26.39534154168228,583588.1027087515
27.026430434475678,584293.4424853662
27.657519327269075,584997.8029451603
28.28860822006247,585702.0767765669
28.919697112855868,586406.5479782422
29.550786005649265,587111.2182590979
30.18187489844266,587815.8991742672
31.14198302940058,588886.9051958489
32.102091160358505,589953.9040725095
33.062199291316425,591013.2579689564
34.022307422274345,592061.5937936968
34.982415553232265,593095.5147863437
35.942523684190185,594111.6824147287
36.902631815148105,595106.9447404072
37.862739946106025,596077.9328074816
38.822848077063945,597021.7322130806
39.782956208021865,597936.1500879508
40.743064338979785,598819.5648510269
42.23831270630556,600131.3742083387
43.73356107363133,601363.51059745
45.2288094409571,602515.5939018056
46.72405780828287,603588.6199306697
48.219306175608644,604584.1932934166
49.714554542934415,605504.9114510629
51.20980291026019,606354.149640807
52.70505127758596,607135.4774270533
54.20029964491173,607852.6474614278
55.6955480122375,608509.581353969
57.190796379563274,609110.410579607
58.686044746889046,609659.2222841801
60.18129311421482,610159.9844566253
61.67654148154059,610616.5004864979
63.17178984886636,611032.398250629
64.66703821619213,611411.0686679538
66.1622865835179,611755.657663432
67.65753495084367,612069.0845187816
69.15278331816944,612354.0530503119
70.64803168549521,612613.0608442127
72.14328005282098,612848.4086573173
74.41871755636774,613165.8620840169
76.6941550599145,613440.0187899082
78.96959256346125,613676.7107610139
81.245030067008,613881.0042495434
83.52046757055476,614057.3059857285
85.79590507410151,614209.4365486228
88.07134257764827,614340.7011651332
90.34678008119502,614453.957470136
92.62221758474178,614551.6739490689
94.89765508828853,614635.9814533123
97.17309259183529,614708.7208095526
99.44853009538204,614771.686114504
101.7239675989288,614826.631823119
103.99940510247555,614874.8374584501
106.2748426060223,614917.2527493392
108.55028010956906,614954.6184150011
110.82571761311581,614987.5361123513
113.10115511666257,615016.5113635637
115.37659262020932,615041.9807729401
117.65203012375608,615064.3294844691
119.92746762730283,615083.9022977733
122.20290513084959,615101.0105971475
124.47834263439634,615115.9365924748
126.7537801379431,615128.9359642719
130.58777404734633,615147.1106820155
134.42176795674956,615161.4174598324
138.2557618661528,615172.6487330212
142.08975577555603,615181.449939049
145.92374968495926,615188.3376718578
149.7577435943625,615193.7215864696
153.59173750376573,615197.9262490722
