time,chw_sup_P.p,chw_sup_m.m_flow,terminal_resist.y_actual,sup_P_err.y
0.0,503789.6667,-6.615340145947176e-16,1.0,50356.6667
3.609876432808513e-09,503789.6667,-6.615340145947176e-16,0.9999999998247828,50356.6667
3.610237420451794e-05,503789.66670000064,1.0660302258125496e-08,0.9999982476569002,50356.66670000064
0.0003970900174853692,503789.66671014414,0.00016230550148422569,0.9999807262516174,50356.66671014414
0.004006966450293882,503789.6670834904,0.006133460056084667,0.9998055363589343,50356.66708349041
0.040105730778379006,503789.7058777767,0.6235679963423896,0.9980559442489744,50356.70587777672
0.16703873997609658,503790.32285079936,8.349479778397907,0.9919363525862354,50357.32285079936
0.44302054821720577,503796.0735039798,29.730233584510543,0.9788032810903671,50363.07350397977
0.719002356458315,503808.36789729644,50.12466600232923,0.9659040936828838,50375.36789729644
0.9949841646994242,503825.6679756382,68.63453688705106,0.9532358917527164,50392.66797563818
1.5661623673241445,503874.6013136128,102.60099625480417,0.927736388517462,50441.60131361277
2.137340569948865,503936.8024986308,131.46871233869365,0.9031862817034375,50503.80249863077
2.7085187725735853,504008.462890561,156.12483436815356,0.8795588839770059,50575.46289056097
3.2796969751983056,504086.87379533297,177.2601865573683,0.8568269390996368,50653.87379533297
4.1484818147669404,504214.6757826056,203.83044638066272,0.8239093322156487,50781.6757826056
5.017266654335575,504348.79175172007,224.99553441682542,0.792915366737935,50915.79175172007
5.88605149390421,504486.20606590115,241.89401950485023,0.7637612477612766,51053.20606590115
6.754836333472845,504624.93908303184,255.39077597706432,0.7363670587352643,51191.939083031844
7.62362117304148,504763.74858193606,266.16825681296064,0.7106562822825178,51330.74858193606
8.492406012610115,504901.8802685562,274.7709743409235,0.6865555560796838,51468.88026855618
9.36119085217875,505038.884497107,281.63512023103397,0.6639945383110681,51605.88449710701
10.229975691747384,505174.4808276373,287.11009058105395,0.642905802852907,51741.48082763731
11.68975701259262,505398.3869104209,293.90929194126545,0.6106102877871591,51965.3869104209
13.149538333437857,505616.7673156212,298.5501334782826,0.5820008263724941,52183.7673156212
14.609319654283093,505828.62685604056,301.73428368625656,0.5568067305370277,52395.62685604056
16.06910097512833,506032.08672495116,303.91396683056917,0.5347775317242107,52599.086724951165
18.340867443855576,506326.97171633196,306.03546181936423,0.5062462421018132,52893.97171633196
20.612633912582822,506586.48846393765,307.20175423447523,0.48402049948732495,53153.488463937654
22.88440038131007,506800.71460211324,307.7972698080559,0.4673854594437204,53367.714602113236
25.156166850037316,506962.7817206173,308.07465927203697,0.45570097035874185,53529.78172061732
27.427933318764563,507069.76828165725,308.20372883833176,0.4483937732992788,53636.76828165725
31.026659463101957,507129.29001313844,308.31410134708557,0.4445382521417465,53696.29001313844
37.15266244941113,506977.5102895719,308.57295186962824,0.45538232490712505,53544.51028957189
43.278665435720306,506634.7680935876,308.83281162611524,0.4824437974935561,53201.7680935876
49.40466842202948,506232.0307075967,308.894048977725,0.5208145918457654,52799.030707596685
55.530671408338655,505850.29400363046,308.86704715908536,0.5669665488201935,52417.294003630464
61.65667439464783,505522.3055462091,308.9074588610298,0.6183955080770984,52089.3055462091
67.78267738095701,505251.9416823995,309.0126759076184,0.6733788304532189,51818.94168239948
71.58126594524803,505110.5770604963,309.0694935603696,0.7086313547698339,51677.57706049632
75.37985450953906,504988.69111243775,309.11116024895875,0.7438827262229735,51555.69111243775
77.91179282630782,504918.47002094873,309.13406393871696,0.7667314282416853,51485.470020948735
80.44373114307658,504856.98784247175,309.15468583493555,0.78856116745109,51423.987842471746
82.97566945984534,504803.62485893484,309.17298558760865,0.8090959546118822,51370.62485893484
85.5076077766141,504757.4430551633,309.1887828917877,0.8282204936106208,51324.44305516331
88.03954609338285,504717.4655645293,309.202282932447,0.8459147869928554,51284.465564529295
91.90436587021905,504666.53890786396,309.2193096352375,0.870183268336594,51233.53890786396
95.76918564705525,504625.5930999707,309.23306103445157,0.8912824506849781,51192.59309997072
99.63400542389145,504592.6046051839,309.24429078925084,0.9094422778712076,51159.60460518388
103.49882520072765,504566.0041577476,309.2533913114636,0.9249205503844403,51133.00415774761
112.11676454472698,504523.7659834708,309.26788028524413,0.9512046040813992,51090.765983470774
120.7347038887263,504497.6289364721,309.27669398289436,0.9686335238631557,51064.628936472116
129.35264323272563,504481.4218623694,309.2820629453192,0.9799330238259449,51048.4218623694
137.97058257672495,504471.36958452483,309.2854054964511,0.9871429530529989,51038.36958452483
146.58852192072428,504465.0895695853,309.28752615126723,0.9917287780461084,51032.08956958528
155.2064612647236,504461.1523434664,309.2888669370137,0.9946366122708094,51028.15234346641
163.82440060872293,504458.6451636123,309.2897180101434,0.9965016352494127,51025.645163612324
172.44233995272225,504457.0393855307,309.29025963360186,0.9977016332952622,51024.03938553069
181.06027929672157,504455.9880502442,309.29061364926946,0.9984896418199258,51022.988050244225
189.6782186407209,504455.3020040291,309.29084527674024,0.9990048626252302,51022.3020040291
198.29615798472022,504454.8450622553,309.29099994332347,0.9993484691708467,51021.84506225528
206.91409732871955,504454.54780630226,309.29110056886907,0.999572186836362,51021.54780630226
220.7087244505174,504454.24570829514,309.2912027106369,0.9997997019743903,51021.245708295144
234.50335157231524,504454.089948448,309.29125532979396,0.9999170678086478,51021.089948448
248.29797869411308,504454.0174950118,309.29127980674554,0.9999716758998627,51021.017495011794
277.6064076442078,504453.97427396645,309.29129441412994,1.0000042558353444,51020.97427396645
306.9148365943026,504453.9832765772,309.29129137337844,0.9999974694297434,51020.9832765772
368.89115993964504,504454.02816761343,309.29127620125735,0.9999636314087641,51021.02816761343
