time,chw_sup_P.p,chw_sup_m.m_flow,terminal_resist.y_actual,sup_P_err.y
0.0,382551.0,5.846331506589146e-17,1.0,834951.0
9.621348981004456e-12,382551.0,5.846331506589146e-17,0.9999999999994382,834951.0
9.622311115902556e-08,382551.0,1.6676417262955558e-17,0.9999999943820364,834951.0
1.0583580092594711e-06,382551.0,5.8150010704670244e-15,0.9999999382080202,834951.0
1.0679706990263927e-05,382551.00000000006,7.426588659567851e-11,0.9999993764680654,834951.0
4.609447138396495e-05,382551.0000000257,2.57202404376755e-08,0.9999973087893046,834951.0000000257
0.0001259137379772936,382551.0000014128,1.4128131555292548e-06,0.9999926485864223,834951.0000014128
0.00028004462433016864,382551.00003260793,3.26068564547636e-05,0.9999836498096973,834951.0000326079
0.0005657279732857445,382551.00044987566,0.00044984594019550027,0.9999669707126114,834951.0004498756
0.0010940065242018061,382551.0040522862,0.004051768475771246,0.9999361289548088,834951.0040522863
0.002017441473137971,382551.02338926273,0.02338372558536974,0.9998822198644987,834951.0233892627
0.0029408764220741363,382551.0613615427,0.06133996394517938,0.9998283140033422,834951.0613615427
0.005281796046796589,382551.24351177644,0.24332963771183036,0.999691676410895,834951.2435117764
0.007622715671519042,382551.54683627334,0.5459881405343119,0.9995550595666457,834951.5468362733
0.009963635296241495,382551.9613850082,0.9583118902013819,0.9994184634676526,834951.9613850082
0.012304554920963948,382552.4667945864,1.4578068787345826,0.9992818881106993,834952.4667945864
0.017115540679173598,382553.68444156507,2.638324775905709,0.9990012677574672,834953.6844415651
0.02192652643738325,382555.0527946657,3.909975134511366,0.9987207349716652,834955.0527946657
0.0267375121955929,382556.5388728495,5.2090854313963675,0.9984402897259091,834956.5388728494
0.03154849795380255,382558.11068630364,6.483591801816132,0.9981599319928907,834958.1106863036
0.036359483712012204,382559.8286379737,7.763158046520379,0.9978796617453175,834959.8286379736
0.045037934564418194,382563.35027853743,10.063297292808238,0.9973743084341563,834963.3502785375
0.05885926261844078,382570.2856591394,13.671556156060666,0.9965700682996806,834970.2856591394
0.07268059067246337,382579.12040239444,17.19809009196173,0.9957665489371437,834979.1204023944
0.08650191872648595,382590.05595547287,20.64733954398321,0.9949637497005225,834990.0559554729
0.10032324678050854,382603.18022994633,24.031144560369672,0.9941616699444193,835003.1802299463
0.11414457483453112,382618.4739026664,27.36353907569982,0.9933603090240457,835018.4739026665
0.12796590288855372,382635.8141025145,30.65965371387057,0.9925596662951881,835035.8141025144
0.1417872309425763,382655.0552449753,33.932439614222346,0.9917597411141968,835055.0552449753
0.1556085589965989,382676.1606775545,37.18492999821723,0.9909605328379923,835076.1606775546
0.17660811716398633,382711.7614502999,42.09128016709418,0.9897476192541143,835111.7614502999
0.21616441108937717,382790.3013166882,51.23563346793152,0.9874673698687492,835190.3013166882
0.24072316538363772,382846.542840049,56.85753957852056,0.9860546051547933,835246.542840049
0.26528191967789827,382908.4283764818,62.438251258691125,0.9846440894295633,835308.4283764819
0.28984067397215885,382975.89578671753,67.97917747318886,0.9832358191129,835375.8957867175
0.3143994282664194,383048.874103288,73.48065837545005,0.9818297906303438,835448.8741032879
0.33895818256068,383127.29209218844,78.94293673509777,0.9804260004131052,835527.2920921885
0.3635169368549406,383211.07940984756,84.3662645163059,0.9790244448980666,835611.0794098475
0.38807569114920115,383300.16647137917,89.7508920637683,0.9776251205277883,835700.1664713791
0.43035270794136227,383465.741427274,98.93040423328375,0.9752214497239068,835865.741427274
0.4726297247335234,383646.47221414396,107.99722481279576,0.9728243621788488,836046.472214144
0.5149067415256845,383842.01923332363,116.95259777731147,0.9704338398621745,836242.0192333236
0.5571837583178456,384052.04918766447,125.79775338474747,0.9680498647928184,836452.0491876644
0.5994607751100067,384276.23497130733,134.5339083308687,0.96567241903894,836676.2349713073
0.6702039948368212,384682.1563418584,148.9118316227879,0.9617087328888748,837082.1563418584
0.7409472145636358,385125.3510436785,162.99346956849473,0.9577631954144084,837525.3510436786
0.8116904342904503,385604.39766867296,176.7842749910085,0.9538357235175114,838004.397668673
0.8824336540172648,386117.9189703552,190.28960045382223,0.9499262344806465,838517.9189703552
0.9531768737440793,386664.58057269093,203.51470009701285,0.9460346459650374,839064.5805726909
1.1106413502690602,387993.87621357635,231.9717967428951,0.9374363679509207,840393.8762135764
1.268105826794041,389467.4741759926,259.121134802494,0.9289254745198883,841867.4741759927
1.425570303319022,391072.7523335313,285.015689297521,0.9205010775796075,843472.7523335313
1.5830347798440028,392797.9575020194,309.70629201946235,0.9121622980634039,845197.9575020194
1.7404992563689836,394632.14946343127,333.2417178185668,0.9039082658385209,847032.1494634312
1.8979637328939645,396565.14848171856,355.668767777634,0.8957381196153934,848965.1484817185
2.0554282094189453,398587.4861187044,377.03234946134563,0.8876510068578134,850987.4861187043
2.212892685943926,400690.35912368534,397.37555388318106,0.8796460836939485,853090.3591236854
2.370357162468907,402865.58618677815,416.73972912428246,0.8717225148282544,855265.5861867781
2.527821638993888,405105.5673868522,435.16455090863315,0.8638794734543096,857505.5673868522
2.773679683573106,408715.8760172464,462.1437801054041,0.8517927790994875,861115.8760172464
3.0195377281523244,412442.5595958047,487.06287482570644,0.8398973298123187,864842.5595958047
3.2653957727315426,416263.9047438214,510.05075164406054,0.8281900995640673,868663.9047438214
3.511253817310761,420160.63948272297,531.2282877008772,0.8166681102056529,872560.639482723
3.757111861889979,424115.6841653436,550.7088212280296,0.8053284307115491,876515.6841653436
4.002969906469198,428113.9270103144,568.5986251106852,0.7941681764340269,880513.9270103144
